2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] users.user_id is unique (50000 rows)
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] advertisers.advertiser_id is unique (200 rows)
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] campaigns.campaign_id is unique (599 rows)
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] creatives.creative_id is unique (1484 rows)
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] impressions.impression_id is unique (1000000 rows)
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] clicks.click_id is unique (22747 rows)
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] impressions null checks passed for 6 columns
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] impressions.user_id -> users.user_id referential integrity holds
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] impressions.campaign_id -> campaigns.campaign_id referential integrity holds
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] clicks.impression_id -> impressions.impression_id referential integrity holds
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] impressions value-range checks passed (2 checks)
2026-07-27 01:38:13 | INFO     | src.etl.validate |   [OK] Overall CTR 2.2747% within sane range
2026-07-27 01:38:13 | INFO     | src.etl.validate | All validation checks passed.
2026-07-27 01:38:13 | INFO     | __main__ | === CLEAN ===
2026-07-27 01:38:13 | INFO     | src.etl.clean |   Cleaned impressions: 1000000 -> 1000000 rows
2026-07-27 01:38:13 | INFO     | __main__ | === TRANSFORM ===
2026-07-27 01:38:13 | INFO     | src.etl.transform | Attached labels. Dataset CTR: 2.2747% (22747 / 1000000)
2026-07-27 01:38:13 | INFO     | src.etl.transform |   train: 660123 rows, 2025-10-01 00:00:47 to 2025-11-30 00:00:00, CTR 2.2876%
2026-07-27 01:38:13 | INFO     | src.etl.transform |   val: 164223 rows, 2025-11-30 00:01:03 to 2025-12-14 23:59:03, CTR 2.2025%
2026-07-27 01:38:13 | INFO     | src.etl.transform |   test: 175654 rows, 2025-12-15 00:01:12 to 2025-12-30 23:59:55, CTR 2.2937%
2026-07-27 01:38:13 | INFO     | __main__ | === SAVE ===
2026-07-27 01:38:15 | INFO     | __main__ | Saved processed datasets and validation_report.json to data/processed
2026-07-27 01:38:15 | INFO     | __main__ | ETL pipeline complete in 25.3s
